time,X (m/s),Y (m/s),Yaw (rad)
115270,-669.249794546201,958.949074063312,4.4991105370988
115280,-669.284416800063,958.786587659412,4.49950033363782
115290,-669.318975944779,958.624087275828,4.49989011853379
115300,-669.353472054695,958.461572953968,4.50027985755422
115310,-669.387905212109,958.299044736824,4.50066951371008
115320,-669.422275498612,958.136502667163,4.50105905016195
115330,-669.456582987589,957.973946785994,4.50144843300735
115340,-669.490827737888,957.811377131278,4.50183763388306
115350,-669.525009788505,957.64879373687,4.50222663235393
115360,-669.559129154083,957.486196631628,4.50261541806934
115370,-669.593185820991,957.323585838654,4.50300399267979
115380,-669.627179743831,957.16096137461,4.5033923715119
115390,-669.66111084351,956.998323249343,4.50378058446688
115400,-669.69497901431,956.835671467263,4.50416867365367
115410,-669.728784138223,956.673006030302,4.50455668860917
115420,-669.762526098155,956.510326940654,4.50494468144451
115430,-669.796204788935,956.347634203031,4.50533270226671
115440,-669.829820126371,956.184927826508,4.50572079494204
115450,-669.863372053797,956.022207825841,4.50610899362387
115460,-669.896860540912,955.859474221259,4.50649732193118
115470,-669.930285576315,955.69672703691,4.50688579422989
115480,-669.963647160318,955.53396629938,4.50727441724939
115490,-669.996945299178,955.371192036487,4.50766319174561
115500,-670.030180000604,955.208404276341,4.50805211414089
115510,-670.063351270581,955.045603046699,4.50844117802374
115520,-670.096459112373,954.882788374737,4.50883037512618
115530,-670.129503527205,954.71996028716,4.50921969584054
115540,-670.162484515229,954.557118810396,4.50960912960011
115550,-670.195402076392,954.394263970761,4.50999866518215
115560,-670.228256211182,954.231395794617,4.51038829093354
115570,-670.261046921398,954.068514308523,4.51077799484866
115580,-670.293774212377,953.905619539672,4.5111677640326
115590,-670.326438096577,953.74271151659,4.51155758365863
115600,-670.359038596862,953.579790269786,4.51194743590871
115610,-670.391575749328,953.416855832293,4.51233729895726
115620,-670.424049605612,953.253908240102,4.51272714606663
115630,-670.456460234173,953.090947532404,4.51311694504481
115640,-670.488807716454,952.927973750874,4.51350665949925
115650,-670.521092138155,952.764986937968,4.51389625165165
115660,-670.553313580879,952.60198713531,4.51428568524079
115670,-670.58547211501,952.438974382321,4.5146749282668
115680,-670.617567793728,952.275948715088,4.51506395553573
115690,-670.649600647956,952.112910165422,4.51545275097886
115700,-670.681570682056,951.949858760058,4.5158413097321
115710,-670.713477870027,951.786794519962,4.51622963997195
115720,-670.745322152161,951.623717459723,4.51661776444898
115730,-670.777103436012,951.460627587707,4.51700572024039
115740,-670.808821608199,951.297524908267,4.51739355482645
115750,-670.840476549003,951.134409424587,4.51778132106319
115760,-670.872068144841,950.971281141081,4.51816907234058
115770,-670.903596298577,950.808140065368,4.5185568580593
115780,-670.935060937926,950.644986209856,4.51894471951745
115790,-670.966462019439,950.481819592512,4.51933268732031
115800,-670.997799523447,950.318640235915,4.5197207817973
115810,-671.029073446128,950.155448165705,4.52010901455327
115820,-671.060283792752,949.992243409285,4.52049739015348
115830,-671.091430572379,949.829025994793,4.52088590781923
115840,-671.122513793822,949.665795950314,4.52127456306813
115850,-671.153533463242,949.50255330342,4.52166334905704
115860,-671.184489584144,949.339298081147,4.52205225730693
115870,-671.215382158357,949.17603031016,4.52244127813722
115880,-671.246211187049,949.01275001694,4.52283040100323
115890,-671.276976671596,948.849457227945,4.52321961475747
115900,-671.307678614315,948.686151969752,4.52360890782797
115910,-671.338317019661,948.522834269267,4.52399826809237
115920,-671.368891897224,948.359504154273,4.52438768206253
115930,-671.399403265197,948.19616165406,4.52477713384004
115940,-671.429851153363,948.03280679997,4.52516660410319
115950,-671.460235605643,947.869439625842,4.52555606915891
115960,-671.490556682062,947.706060168355,4.5259455001475
115970,-671.520814458456,947.542668466981,4.52633486308478
115980,-671.551009019937,947.379264562825,4.52672412098098
115990,-671.581140452208,947.215848497047,4.52711323669833
116000,-671.611208833951,947.052420309496,4.52750217571632
116010,-671.641214230395,946.88898003757,4.52789090872097
116020,-671.671156687899,946.725527715277,4.52827941398842
116030,-671.701036229379,946.562063372437,4.5286676795417
116040,-671.730852850338,946.398587034014,4.52905570507229
116050,-671.760606515305,946.235098719522,4.52944350362653
116060,-671.790297155258,946.071598442581,4.52983110276056
116070,-671.819924672545,945.908086211731,4.53021854288366
116080,-671.849488954702,945.744562032886,4.53060587267897
116090,-671.878989888041,945.581025911792,4.53099314423184
116100,-671.908427369015,945.417477856051,4.53138040841381
116110,-671.937801313592,945.253917876779,4.53176771059905
116120,-671.967111664472,945.090345989869,4.53215508696805
116130,-671.996358391671,944.926762216122,4.53254256311505
116140,-672.025541485543,944.76316658,4.53293015513041
116150,-672.054660949346,944.599559108282,4.53331787119183
116160,-672.083716793145,944.435939828975,4.53370571322143
116170,-672.112709029117,944.272308770476,4.53409367852985
116180,-672.141637668136,944.108665960948,4.53448176135602
116190,-672.170502718298,943.945011428048,4.53486995395635
116200,-672.19930418545,943.781345199006,4.53525824717074
116210,-672.228042074193,943.617667300788,4.53564663081918
116220,-672.256716388827,943.453977760242,4.53603509401518
116230,-672.285327134138,943.290276604235,4.53642362539861
116240,-672.313874316101,943.126563859776,4.53681221326135
116250,-672.34235794373,942.962839554307,4.53720084515048
116260,-672.370778032547,942.799103716301,4.53758950687312
116270,-672.399134607946,942.635356375817,4.53797818143508
116280,-672.427427708077,942.471597564988,4.53836684802065
116290,-672.455657386217,942.307827318395,4.53875548108199
116300,-672.483823712408,942.144045673334,4.53914404966218
